text_id,body_id,relation_score
0005cd47,0005cd3e,0.984594225883484
0005cd43,0005cd40,0.9635107517242432
0005cd3c,0005cd40,0.7459051609039307
0005cd3c,0005cd3d,0.5829705595970154
0005cd3c,0005cd37,0.0773143842816352
0005cd47,0005cd3d,0.029020320624113
0005cd43,0005cd3d,0.0233898777514696
0005cd43,0005cd37,0.0070840585976839
0005cd3c,0005cd3e,0.0032450195867568
0005cd47,0005cd37,0.0016623035771772
0005cd43,0005cd3e,2.2801521481596865e-05
0005cd47,0005cd40,6.086369012336945e-06
0005cd5d,0005cd54,0.9842458367347716
0005cd62,0005cd59,0.9791550040245056
0005cd63,0005cd50,0.9622715711593628
0005cd67,0005cd57,0.953315794467926
0005cd4c,0005cd59,0.9417127966880798
0005cd56,0005cd68,0.8975591063499451
0005cd64,0005cd66,0.879877507686615
0005cd5b,0005cd5c,0.8764923214912415
0005cd4d,0005cd4f,0.5241862535476685
0005cd4d,0005cd66,0.3745878934860229
0005cd5d,0005cd5e,0.1404688358306884
0005cd4c,0005cd5e,0.1217883303761482
0005cd5b,0005cd68,0.0900391787290573
0005cd56,0005cd5c,0.0837670043110847
0005cd67,0005cd54,0.0785256475210189
0005cd4c,0005cd54,0.0748529136180877
0005cd4c,0005cd57,0.0689714178442955
0005cd63,0005cd66,0.0526099018752574
0005cd4c,0005cd66,0.0459233857691288
0005cd62,0005cd5e,0.0446445643901824
0005cd4c,0005cd4f,0.0286907237023115
0005cd5d,0005cd59,0.0260819774121046
0005cd64,0005cd59,0.0260558314621448
0005cd62,0005cd54,0.0219043288379907
0005cd62,0005cd57,0.0208487436175346
0005cd67,0005cd5e,0.020498901605606
0005cd67,0005cd59,0.0195422433316707
0005cd62,0005cd66,0.015561819076538
0005cd5d,0005cd57,0.015499304048717
0005cd4d,0005cd5e,0.0146573530510067
0005cd64,0005cd50,0.0113209309056401
0005cd63,0005cd5e,0.0098557546734809
0005cd4d,0005cd50,0.0096472594887018
0005cd64,0005cd57,0.0096326833590865
0005cd64,0005cd54,0.0095448493957519
0005cd64,0005cd5e,0.0094447042793035
0005cd4d,0005cd59,0.0088043697178363
0005cd64,0005cd4f,0.008689415641129
0005cd4d,0005cd57,0.007030714303255
0005cd63,0005cd4f,0.0066959136165678
0005cd5d,0005cd66,0.0066724754869937
0005cd62,0005cd4f,0.0059854141436517
0005cd4c,0005cd50,0.0058099529705941
0005cd5d,0005cd4f,0.0043559521436691
0005cd63,0005cd54,0.0039505260065197
0005cd4d,0005cd54,0.0039088409394025
0005cd63,0005cd59,0.0029867838602513
0005cd67,0005cd4f,0.0024805085267871
0005cd67,0005cd50,0.0021459474228322
0005cd63,0005cd57,0.0020388860721141
0005cd5d,0005cd50,0.0016709180781617
0005cd67,0005cd66,0.0014973348006606
0005cd62,0005cd50,0.0002877157821785
0005cd5b,0005cd50,0.0002053100906778
0005cd5b,0005cd57,0.0001955357292899
0005cd63,0005cd5c,5.2169663831591606e-05
0005cd5b,0005cd4f,3.536889562383294e-05
0005cd5b,0005cd5e,1.9072667782893404e-05
0005cd5b,0005cd59,1.1831432857434264e-05
0005cd5b,0005cd54,1.0611386642267462e-05
0005cd4c,0005cd5c,8.580499525123741e-06
0005cd64,0005cd5c,7.3681499088706914e-06
0005cd5b,0005cd66,6.353233402478509e-06
0005cd63,0005cd68,4.276271283742972e-06
0005cd56,0005cd50,3.1581362236465797e-06
0005cd64,0005cd68,2.132958115907968e-06
0005cd4d,0005cd68,1.8215720274383784e-06
0005cd4d,0005cd5c,1.464701199438423e-06
0005cd62,0005cd5c,5.900142241443973e-07
0005cd62,0005cd68,3.92671580584647e-07
0005cd4c,0005cd68,2.1223509349965755e-07
0005cd5d,0005cd5c,7.748153052489215e-08
0005cd56,0005cd66,4.1050498111872e-08
0005cd56,0005cd59,4.079098303577666e-08
0005cd56,0005cd4f,2.8088299686146456e-08
0005cd67,0005cd5c,4.087039595646047e-09
0005cd56,0005cd5e,6.212971803698508e-11
0005cd5d,0005cd68,1.4959672389736056e-11
0005cd56,0005cd57,7.86446602285551e-12
0005cd67,0005cd68,4.1160252289840216e-12
