text_id,body_id,relation_score
00063852,00063863,0.9937280416488647
0006384e,00063864,0.9899964332580566
0006385b,00063872,0.9717649221420288
00063867,0006385f,0.9602895975112916
00063871,0006386d,0.9600089192390442
0006385d,0006386e,0.9032685160636902
00063861,0006385f,0.8059378862380981
0006385a,0006386e,0.8005107045173645
0006385b,00063875,0.7751853466033936
00063861,0006386d,0.7014285326004028
00063871,0006385e,0.057650126516819
0006384e,00063850,0.0469812266528606
00063852,00063849,0.0095800142735242
0006385a,00063862,0.0092275058850646
0006385d,00063862,0.0076717031188309
0006384e,00063863,0.0061037722043693
00063852,00063850,0.005083620082587
0006385b,0006385f,0.0045385560952126
00063867,0006386d,0.0040927724912762
00063852,00063875,0.0040020565502345
00063861,0006385e,0.0036183246411383
0006385b,0006386d,0.0035862938966602
0006384e,00063872,0.0035851248539984
00063867,0006386e,0.0031538850162178
00063861,0006386e,0.0030940130818635
00063871,0006385f,0.0030386380385607
0006384e,00063875,0.0029253654647618
00063852,00063864,0.0021027708426117
0006385b,0006386e,0.0017249893862754
0006384e,00063849,0.0011785743990913
00063871,0006386e,0.001114176469855
00063867,00063862,0.0010917427716776
00063852,00063872,0.0010848437668755
00063861,00063862,0.0010636576917022
00063867,00063849,0.0009952441323548
0006385a,00063864,0.0009798967512324
0006384e,0006386e,0.0009242609958164
0006385d,00063849,0.0009080847376026
0006385b,00063864,0.0008660907042212
0006385d,00063863,0.0008152452646754
0006384e,0006386d,0.0007335753180086
00063867,0006385e,0.0007186277071014
0006385b,00063850,0.0007150753517635
0006385a,00063850,0.0007039201445877
0006385d,0006386d,0.0006858893320895
00063871,00063862,0.0006444522878155
0006384e,0006385f,0.0006280509405769
0006385a,00063863,0.0006167272804304
0006385a,00063849,0.0006092329276725
0006385d,0006385f,0.0005366161349229
00063871,00063863,0.0005353412707336
00063871,00063850,0.0005240376340225
0006384e,00063862,0.0005225102067925
0006385b,00063862,0.0004715745162684
00063852,0006386d,0.0004711528308689
0006385a,0006386d,0.000464170530904
0006385d,0006385e,0.0004546198470052
0006385a,0006385f,0.0004482611257117
00063867,00063863,0.0004286290786694
00063852,00063862,0.0003488632501102
0006385d,00063850,0.0003294408961664
00063852,0006386e,0.0003141000051982
00063852,0006385f,0.0002994435781147
0006385b,00063863,0.0002837829524651
0006385d,00063875,0.0002822368987835
0006385a,00063872,0.000260559056187
00063871,00063872,0.0002540244022384
00063871,00063875,0.0002530962810851
00063871,00063864,0.0002490303886588
00063867,00063875,0.00023765770311
00063871,00063849,0.0002086525782942
0006385a,00063875,0.0002082667924696
0006385a,0006385e,0.0002041009574895
0006384e,0006385e,0.0002027563896263
00063867,00063872,0.0001895823370432
0006385b,00063849,0.0001739485451253
0006385b,0006385e,0.0001552779140183
00063861,00063875,0.0001041315699694
00063852,0006385e,8.621094457339495e-05
00063861,00063872,8.016333595151082e-05
00063861,00063849,7.605481368955225e-05
