text_id,body_id,relation_score
0006559a,000655a3,0.9824926853179932
00065595,000655a6,0.971988320350647
000655a2,000655a3,0.9692427515983582
00065595,000655a1,0.1498702764511108
000655a4,00065598,0.1474493443965912
0006559a,00065597,0.0832328870892524
000655a2,00065597,0.0695736780762672
000655a2,00065598,0.0677289068698883
000655a4,000655a3,0.0493405647575855
0006559a,0006559b,0.0459904186427593
000655a4,00065597,0.0387739017605781
0006559a,000655a1,0.0260336156934499
0006559a,00065598,0.0221621021628379
000655a2,000655a1,0.0219527035951614
000655a2,0006559b,0.019312409684062
000655a2,000655a6,0.0186881534755229
0006559a,000655a6,0.0184516925364732
00065595,000655a3,0.0073425378650426
00065595,00065598,0.0072108693420886
000655a4,000655a6,0.0061035845428705
000655a4,0006559b,0.0042455303482711
000655a4,000655a1,0.002847594441846
00065595,00065597,0.0027748090215027
00065595,0006559b,0.0027283031959086
000655ac,000655b9,0.9807351231575012
000655b5,000655c9,0.9585951566696168
000655bf,000655ad,0.9576395153999328
000655b7,000655b2,0.9074255228042604
000655c7,000655b8,0.8946806192398071
000655c5,000655ce,0.76636803150177
000655c6,000655b0,0.5603171586990356
000655d0,000655b0,0.5239690542221069
000655c4,000655ad,0.4948200583457947
000655ba,000655c9,0.4560516476631164
000655bb,000655c9,0.4453044533729553
000655cf,000655b0,0.4393344521522522
000655c6,000655c0,0.4349324405193329
000655ba,000655b3,0.4199452400207519
000655d2,000655ad,0.299991101026535
000655c5,000655b2,0.2716310620307922
000655cf,000655c0,0.2701969742774963
000655bb,000655ad,0.22355417907238
000655bb,000655b3,0.1917621493339538
000655d0,000655ce,0.1799985617399215
000655d2,000655b3,0.1663700193166732
000655ba,000655ad,0.157879963517189
000655cf,000655b9,0.1372337937355041
000655d0,000655b9,0.1267845779657364
000655c4,000655b3,0.1237015128135681
000655d0,000655b2,0.1159902438521385
000655b5,000655b3,0.1157283633947372
000655b5,000655ad,0.1117260828614234
000655d0,000655c0,0.1052440106868743
000655d0,000655b8,0.0805290192365646
000655c6,000655b9,0.0701873749494552
000655b7,000655ce,0.0616949200630188
000655c7,000655b9,0.0458281263709068
000655c6,000655b2,0.0447778105735778
000655bf,000655b3,0.0442154258489608
000655cf,000655b2,0.0421255677938461
000655cf,000655ce,0.0415191166102886
000655c5,000655b0,0.0406982935965061
000655cf,000655b8,0.0397683382034301
000655c5,000655b9,0.0375693887472152
000655c7,000655b2,0.0371035523712635
000655c7,000655ce,0.0369798988103866
000655c5,000655b8,0.035326313227415
000655d2,000655c9,0.0328524410724639
000655c4,000655c9,0.0304192584007978
000655c7,000655b0,0.0295720528811216
000655ac,000655b8,0.0292464718222618
000655c6,000655ce,0.0254928655922412
000655c6,000655b8,0.0223226621747016
000655b7,000655b9,0.0210680440068244
000655c7,000655c0,0.0206378176808357
000655ac,000655b2,0.0197423323988914
000655ac,000655ce,0.0177408680319786
000655b7,000655b0,0.0172977782785892
000655c5,000655c0,0.0165441446006298
000655b7,000655b8,0.0140803642570972
000655ac,000655b0,0.0115000968798995
000655bf,000655c9,0.0063296952284872
000655ac,000655c0,0.0059066740795969
000655b7,000655c0,0.0048505463637411
000655d0,000655b3,0.0029038025531917
000655b5,000655b2,0.0006863084854558
000655b5,000655b8,0.0006092902040109
000655d0,000655c9,0.0005949319456703
000655b5,000655c0,0.0004792780673597
000655b5,000655ce,0.0003871755907312
000655c7,000655c9,0.0003758711973205
000655ba,000655c0,0.0002319976483704
000655cf,000655c9,0.0001903614174807
000655ba,000655ce,0.000171057487023
000655bb,000655c0,0.0001533527101855
000655bb,000655b8,0.0001385445648338
000655c5,000655c9,0.0001371626422042
000655d2,000655b8,0.0001216776872752
000655ba,000655b2,0.0001187215020763
000655b5,000655b9,0.0001148733281297
000655ba,000655b8,0.0001147146176663
000655b7,000655c9,9.354622307000682e-05
