text_id,body_id,relation_score
00067751,00067752,0.9653603434562684
00067754,00067752,0.9563730359077454
0006774f,00067752,0.9529109001159668
00067753,00067752,0.7843579649925232
00067781,00067777,0.932826578617096
00067766,00067765,0.8693214058876038
0006776f,0006776d,0.7209219932556152
000677a7,0006779c,0.6951385140419006
0006778c,0006779c,0.6836848258972168
0006778c,0006779b,0.6587863564491272
0006779e,0006779c,0.4179734289646148
000677a7,0006779b,0.4176863729953766
0006779e,0006779b,0.3223601579666137
0006776f,00067764,0.2016357183456421
00067766,00067775,0.140454426407814
000677a2,00067777,0.1233824416995048
00067770,00067777,0.1065685376524925
0006776f,000677a3,0.1022015139460563
00067770,0006776d,0.0951804369688034
0006776f,0006779d,0.0632686018943786
00067770,0006779d,0.0621587596833705
000677a2,0006779d,0.057207141071558
0006778c,00067797,0.0559529811143875
000677a2,0006776d,0.0545210056006908
0006776f,00067777,0.0351725630462169
000677a7,00067797,0.0280130393803119
00067781,0006776d,0.0275671482086181
0006779e,00067797,0.0273772999644279
00067770,00067764,0.027093332260847
00067770,000677a3,0.025889940559864
000677a2,000677a3,0.021706910803914
00067781,00067764,0.0213064588606357
0006779e,00067794,0.0209471993148326
00067781,000677a3,0.020098827779293
00067781,0006779d,0.0183345489203929
0006778c,0006778d,0.0170985199511051
000677a7,00067794,0.0155326928943395
00067766,0006778d,0.012789748609066
000677a2,00067764,0.0123925767838954
0006778c,00067794,0.0095688048750162
00067766,00067797,0.0092945219948887
0006778c,00067765,0.0084504643455147
000677a7,0006778d,0.0071056364104151
00067766,00067794,0.0056789424270391
0006779e,0006778d,0.0047132913023233
00067766,0006779c,0.0041916640475392
00067766,0006779b,0.0040123448707163
000677a7,00067765,0.0035589963663369
0006779e,00067765,0.0035588885657489
0006778c,00067775,0.0029114251956343
0006779e,00067775,0.0028967959806323
0006778c,000677a3,0.0019783736206591
000677a7,00067775,0.0016980674117803
0006778c,00067764,0.0004005064547527
0006779e,000677a3,0.0003949608362745
0006778c,0006779d,0.000287045026198
00067766,000677a3,0.0001844365760916
000677a7,000677a3,0.0001808545348467
00067766,00067764,0.0001422198838554
0006778c,0006776d,0.0001120951710618
000677a7,00067764,7.845980871934444e-05
0006776f,00067797,6.128103996161371e-05
000677a2,00067765,5.452580808196217e-05
0006779e,00067764,4.930702561978251e-05
00067766,0006779d,4.436353265191429e-05
000677a2,0006778d,3.687660864670761e-05
00067766,00067777,3.119244865956716e-05
0006776f,00067765,2.4883747755666263e-05
0006776f,00067794,2.134570422640536e-05
000677a2,0006779b,2.1295218175509945e-05
000677a2,00067775,2.071669950964861e-05
0006776f,0006779b,1.5800585970282555e-05
00067766,0006776d,1.4026364624442069e-05
0006778c,00067777,1.2763155609718524e-05
000677a2,00067794,1.0845295037142932e-05
0006776f,00067775,1.0473198926774783e-05
0006776f,0006779c,7.694890882703476e-06
00067770,00067775,6.6403549681126606e-06
00067770,00067794,6.421670605050167e-06
000677a2,0006779c,5.501925897988258e-06
0006779e,0006776d,4.931337571179029e-06
00067770,00067765,4.769267434312496e-06
0006779e,0006779d,4.533048013399821e-06
000677a7,0006779d,3.7619186059600902e-06
00067770,0006779b,3.2261573323921766e-06
000677a7,0006776d,2.7739365577872377e-06
00067781,00067765,2.168349737985409e-06
0006776f,0006778d,1.3040685189480428e-06
000677a2,00067797,1.213902692143165e-06
00067781,00067794,1.0791023896672414e-06
00067770,0006779c,4.595009102104086e-07
00067770,00067797,3.838651991827647e-07
00067770,0006778d,3.642593071617739e-07
00067781,00067775,3.311998000299355e-07
0006779e,00067777,1.4527981306855509e-07
00067781,0006779b,1.0975062281204373e-07
000677a7,00067777,9.07559467577812e-08
00067781,0006779c,2.062251880374788e-08
00067781,00067797,5.373039790868006e-09
00067781,0006778d,5.055411644860897e-10
000677ba,000677b0,0.9544153213500975
000677d4,000677a8,0.9275814890861512
