text_id,body_id,relation_score
00068403,0006840b,0.9637472033500672
00068404,000683f7,0.9611302018165588
00068407,0006841b,0.9155240654945374
0006840a,0006841c,0.9005671143531799
00068423,00068417,0.7130755186080933
00068410,00068414,0.6301275491714478
00068415,00068417,0.6210822463035583
00068422,000683fc,0.4458954632282257
0006840c,000683f8,0.4349144995212555
00068422,0006841f,0.4135620594024658
00068410,000683fe,0.3927162289619446
00068415,0006841a,0.3232889771461487
0006840c,000683fc,0.2447106838226318
00068410,0006841d,0.1036945506930351
00068422,000683f8,0.089477963745594
00068423,0006841a,0.0733585357666015
0006840c,0006841f,0.0611607208847999
0006840a,000683f5,0.0582297518849372
0006840a,0006840d,0.0535120517015457
00068422,0006840b,0.0518913716077804
00068410,00068417,0.0478793568909168
00068410,00068420,0.0456183888018131
0006840a,0006840b,0.0321951657533645
00068407,000683f7,0.0314677432179451
00068404,0006841b,0.0312831550836563
00068423,00068420,0.0288874376565217
0006840c,000683f5,0.0268811825662851
0006840c,0006840b,0.0239730887115001
00068410,0006841a,0.0210574679076671
00068422,000683f5,0.0206826925277709
00068423,00068414,0.0170108508318662
00068403,0006841f,0.0132003938779234
00068422,0006841c,0.0126807009801268
00068407,0006840b,0.0112525895237922
0006840a,0006841f,0.0102368788793683
00068415,00068420,0.009415466338396
00068403,000683f8,0.0086501454934477
00068415,0006841d,0.008647758513689
00068403,000683f5,0.0083151925355196
0006840a,000683fc,0.0073123318143188
0006840a,000683f7,0.0072674481198191
00068423,000683fe,0.0069679017178714
00068403,0006841c,0.0061983540654182
0006840c,0006841c,0.0061074271798133
00068404,0006841f,0.0052693551406264
0006840a,0006841b,0.0049033062532544
00068403,0006840d,0.0047916076146066
00068415,00068414,0.0046720406971871
00068423,0006841d,0.0043359706178307
00068404,000683f8,0.004260629415512
00068404,000683f5,0.0039313398301601
00068407,000683f5,0.0038494511973112
0006840a,000683f8,0.003826891304925
00068403,000683fc,0.003636066103354
00068407,0006841c,0.0035116367507725
00068407,000683f8,0.0033050021156668
00068404,000683fc,0.0032717429567128
00068404,0006840b,0.0032244101166725
00068407,0006841f,0.00304517429322
00068407,000683fc,0.0030416110530495
0006840c,0006841b,0.0030146643985062
00068422,0006840d,0.0029433181043714
00068422,000683f7,0.0026751782279461
00068422,0006841b,0.0020488328300416
00068407,0006840d,0.0018480925355106
00068403,0006841b,0.0017587937181815
00068404,0006841c,0.0015141187468543
0006840c,0006840d,0.0013085447717458
00068404,0006840d,0.0009584393119439
0006840c,000683f7,0.0008480848628096
00068415,000683fe,0.0006909667281433
00068403,000683f7,0.0005020052776671
00068410,000683f5,0.0003068553633056
00068410,0006840d,4.4323402107693255e-05
00068423,000683f5,3.0499784770654514e-05
0006840a,0006841a,2.6000092475442216e-05
00068422,00068420,1.74088854691945e-05
00068410,0006841c,1.6964135284069926e-05
00068422,00068417,1.6418927771155722e-05
00068415,000683f5,1.6143229004228488e-05
00068423,000683f8,1.0958943676087074e-05
00068423,0006840d,7.95579489931697e-06
00068410,000683f8,7.002889560681069e-06
0006840c,00068414,6.916619440744398e-06
0006840c,000683fe,5.355492703529308e-06
0006840c,00068420,3.9619349081476685e-06
00068410,0006841f,3.653991825558478e-06
00068422,000683fe,3.222350642317906e-06
00068415,0006841c,3.0023647923371755e-06
0006840c,0006841d,2.732102984737139e-06
00068423,0006841f,2.6158918444707524e-06
0006840a,00068420,2.534553914301796e-06
0006840c,00068417,2.322860837011831e-06
0006840c,0006841a,2.1966352505842224e-06
00068422,0006841a,1.956349933607271e-06
00068410,000683f7,1.8848226090995013e-06
00068423,0006841c,1.0314794280930073e-06
0006840a,000683fe,9.034616255121364e-07
0006840a,0006841d,8.925180168262159e-07
00068404,00068420,8.753119686844002e-07
0006840a,00068417,7.591994517497369e-07
0006840a,00068414,7.328642936954566e-07
00068403,00068420,6.224432240742317e-07
00068410,000683fc,5.994073148940515e-07
00068415,000683f8,5.083021505924989e-07
00068422,00068414,4.438854261934466e-07
00068415,0006840d,4.4347584093884507e-07
00068423,000683fc,3.245628192871664e-07
00068415,000683fc,2.442654647438758e-07
00068404,000683fe,2.3794626713424807e-07
00068415,0006841f,1.4813531379331837e-07
00068422,0006841d,1.3538519283429198e-07
00068404,00068414,1.2562624362999486e-07
00068403,00068417,7.810322699697282e-08
00068407,0006841d,3.7257894547337855e-08
00068404,0006841d,3.1261215838185314e-08
00068407,00068420,2.7523856971356512e-08
00068407,00068414,2.543109367536545e-08
00068403,0006841a,1.735772237054789e-08
00068423,0006840b,1.4221376964940193e-08
00068404,0006841a,1.4218719535108448e-08
00068407,000683fe,1.2807426230665442e-08
00068403,00068414,1.1252031306696608e-08
00068410,0006841b,1.0472813727346876e-08
00068410,0006840b,7.230504639466062e-09
00068415,0006840b,5.7145550513837415e-09
00068403,000683fe,3.964749417662006e-09
00068403,0006841d,3.291603878352589e-09
00068423,000683f7,2.0924024735080593e-09
00068415,000683f7,3.9091430092952345e-10
00068404,00068417,1.8978994764662358e-10
00068407,0006841a,2.8930705487512087e-12
00068407,00068417,1.1324329061285219e-12
00068415,0006841b,9.360782006299917e-14
00068423,0006841b,3.4060719468400474e-14
0006843c,00068459,0.9664688110351562
0006845b,0006844c,0.9616277813911438
0006843d,00068443,0.9360826015472412
00068429,00068432,0.9314701557159424
00068431,00068448,0.8524145483970642
00068451,0006843f,0.8408327102661133
