text_id,body_id,relation_score
0006a9ac,0006a9b0,0.873551070690155
0006a9bb,0006a9ad,0.872772753238678
0006a9b2,0006a9bd,0.8610233664512634
0006a9b4,0006a9b0,0.8549707531929016
0006a9b5,0006a9b9,0.8328211903572083
0006a9b8,0006a9b9,0.7851262092590332
0006a9bf,0006a9bd,0.7366330623626709
0006a9a9,0006a9bd,0.7071307897567749
0006a9b5,0006a9bd,0.4808871150016784
0006a9b8,0006a9bd,0.3578817844390869
0006a9b2,0006a9b9,0.3547432124614715
0006a9ac,0006a9ad,0.1955194324254989
0006a9a9,0006a9b9,0.188195914030075
0006a9a9,0006a9aa,0.1743252873420715
0006a9b4,0006a9ad,0.1189256459474563
0006a9ac,0006a9aa,0.0818356946110725
0006a9b8,0006a9aa,0.0748534947633743
0006a9bb,0006a9b0,0.0665303766727447
0006a9b5,0006a9aa,0.0627200677990913
0006a9bf,0006a9b9,0.0571023672819137
0006a9b4,0006a9aa,0.0556558966636657
0006a9b2,0006a9aa,0.0535803437232971
0006a9b5,0006a9ad,0.0400720722973346
0006a9b8,0006a9ad,0.0348671413958072
0006a9bb,0006a9aa,0.0277267042547464
0006a9ac,0006a9b9,0.0271919351071119
0006a9b4,0006a9b9,0.0271802134811878
0006a9b8,0006a9b0,0.0247032903134822
0006a9b4,0006a9bd,0.0246613342314958
0006a9b5,0006a9b0,0.0239574667066335
0006a9a9,0006a9ad,0.0195053052157163
0006a9bb,0006a9b9,0.0184024423360824
0006a9a9,0006a9b0,0.017224196344614
0006a9b2,0006a9ad,0.0161070898175239
0006a9ac,0006a9bd,0.01538154669106
0006a9bb,0006a9bd,0.0134980604052543
0006a9bf,0006a9ad,0.0117466915398836
0006a9b2,0006a9b0,0.0112317921593785
0006a9bf,0006a9aa,0.005397839937359
0006a9bf,0006a9b0,0.0033863957505673
0006a9d1,0006a9c0,0.9803553819656372
0006a9d3,0006a9d6,0.8811138272285461
0006a9c3,0006a9c9,0.8406978249549866
