text_id,body_id,relation_score
00070414,00070426,0.9571099281311036
0007041c,00070419,0.8330802321434021
0007041e,00070410,0.7519731521606445
0007041c,00070418,0.4543275535106659
00070414,00070410,0.2337475270032882
0007041e,00070419,0.1515163630247116
0007041e,00070426,0.0562275610864162
00070414,00070419,0.0522229224443435
0007041c,00070426,0.0508976839482784
0007041c,00070410,0.0387141592800617
0007041e,00070418,0.0155857456848025
00070414,00070418,0.0042669624090194
00070433,00070431,0.6218575239181519
00070433,00070435,0.288878470659256
00070433,0007043c,0.0884133428335189
00070455,00070461,0.9453970193862916
00070453,00070454,0.8854922652244568
0007044f,0007043e,0.7500335574150085
00070455,00070454,0.0441902391612529
00070455,0007043e,0.0240883063524961
0007044f,00070454,0.0153784127905964
00070453,00070461,0.0132603412494063
0007044f,00070461,0.0078069567680358
00070453,0007043e,0.0035880203358829
0007046d,0007047e,0.8760405778884888
00070484,0007047e,0.8725475668907166
00070472,0007048a,0.8015745282173157
0007046c,0007048a,0.7869657874107361
00070484,0007048a,0.7309301495552063
00070483,0007048b,0.6933516263961792
00070470,0007047b,0.6346530318260193
00070489,0007048a,0.5815437436103821
00070472,0007047e,0.5034332871437073
00070470,0007048b,0.4695899486541748
0007046c,0007047e,0.4307738542556762
00070489,0007047e,0.3747775256633758
0007046d,0007048a,0.3385047912597656
00070478,00070486,0.2372133880853653
0007046a,0007047e,0.2186919897794723
000704a0,00070471,0.2115162909030914
000704a0,0007047c,0.183444082736969
0007046a,0007048a,0.1737938374280929
00070478,0007047e,0.1638960242271423
00070487,0007047e,0.156904712319374
0007046a,00070486,0.1490856111049652
00070478,0007048a,0.1063825860619545
0007046a,00070480,0.095004066824913
00070478,00070479,0.0842179283499717
00070487,0007048a,0.0703929513692855
00070478,00070480,0.0654825121164321
00070470,0007047c,0.0552666895091533
0007046a,00070479,0.0431483760476112
00070470,00070471,0.0355211198329925
00070483,0007047b,0.035244595259428
00070487,00070486,0.0324221886694431
00070487,00070479,0.029740571975708
00070484,00070486,0.0274812839925289
00070483,0007047c,0.0264152362942695
00070487,00070480,0.0159026812762022
000704a0,0007048b,0.0145891644060611
