text_id,body_id,relation_score
000731c5,000731c3,0.9679852724075316
000731ce,000731c0,0.7972937226295471
000731b9,000731c0,0.750560998916626
000731b9,000731c3,0.2928372323513031
000731ce,000731c3,0.2431759983301162
000731ce,000731d0,0.228361427783966
000731c5,000731c0,0.1451674550771713
000731b9,000731d0,0.0943882912397384
000731c5,000731d0,0.0270339809358119
000731b9,000731cb,0.0002655405260156
000731ce,000731c2,0.0001278311974601
000731ce,000731cb,5.206524292589165e-05
000731b9,000731c2,2.882488479372114e-05
000731c5,000731c2,2.4453893274767324e-06
000731c5,000731cb,1.41464465741592e-06
000731dc,000731de,0.9793268442153932
000731e2,000731de,0.9444398283958436
000731f5,000731e6,0.8920580744743347
000731ea,000731e1,0.8471984267234802
000731f4,000731dd,0.7015212774276733
000731f2,000731fa,0.6450555324554443
000731f5,000731e4,0.6089927554130554
000731e8,000731df,0.2008044719696045
000731e2,000731e4,0.1891554445028305
000731dc,000731e4,0.1845595836639404
000731e8,000731f1,0.1442808657884597
000731f7,000731f1,0.1431084424257278
000731f5,000731de,0.1296093463897705
000731f4,000731e6,0.1123221442103385
000731f5,000731dd,0.0888473019003868
000731dc,000731e6,0.0815263092517852
000731f4,000731d6,0.0802653506398201
000731e2,000731e6,0.0764053761959075
000731f4,000731e4,0.0669175237417221
000731f2,000731f1,0.0640799701213836
000731e8,000731e1,0.0606641545891761
000731e8,000731fa,0.05976427718997
000731e8,000731fb,0.0417064763605594
000731f4,000731de,0.0411916747689247
000731f2,000731e1,0.0407020933926105
000731e2,000731dd,0.0398207604885101
000731dc,000731dd,0.0360411629080772
000731f2,000731df,0.0344297476112842
000731f5,000731d6,0.0294331312179565
000731ea,000731e9,0.0261141788214445
000731e8,000731e9,0.0251351594924926
000731e2,000731d6,0.0242799259722232
000731f7,000731fa,0.0232027508318424
000731e8,000731ed,0.0201094076037406
000731dc,000731d6,0.0187518596649169
000731f4,000731ef,0.0178229361772537
000731e2,000731ef,0.0175252482295036
000731ea,000731df,0.0174251869320869
000731f7,000731e1,0.0152363749220967
000731dc,000731ef,0.0149677824229002
000731f7,000731fb,0.0141181722283363
000731f7,000731df,0.0134918838739395
000731f2,000731ed,0.0129171479493379
000731f2,000731fb,0.0128273842856287
000731f5,000731ef,0.0126281008124351
000731f7,000731e9,0.0097363479435443
000731f2,000731e9,0.0078506050631403
000731ea,000731fb,0.0052922340109944
000731f7,000731ed,0.004877264611423
000731ea,000731f1,0.0026332563720643
000731ea,000731fa,0.0025047969538718
000731dc,000731ed,0.0009739965898916
000731e2,000731e9,0.0007284581661224
000731dc,000731fb,0.0006099783931858
000731f4,000731ed,0.0003712827456183
000731ea,000731ed,0.0003434142272453
000731e2,000731e1,0.0002973032533191
000731dc,000731e9,0.0002777919871732
000731f4,000731fb,0.0002553441154304
000731e2,000731fb,0.0002547255135141
000731f5,000731ed,0.0002420255186734
000731e8,000731d6,0.0002229499077657
000731f2,000731d6,0.0001827169762691
000731f5,000731fb,0.0001502329832874
000731f5,000731e9,0.0001169985189335
000731e2,000731ed,0.0001160600222647
000731f4,000731e9,9.805358422454448e-05
000731f2,000731ef,7.289561472134665e-05
000731e8,000731ef,6.398118421202525e-05
000731f4,000731e1,5.764197703683749e-05
000731dc,000731e1,5.05960124428384e-05
000731ea,000731d6,2.374379255343229e-05
000731f7,000731ef,2.292477620358113e-05
000731f4,000731fa,1.643352698010858e-05
000731f4,000731df,1.6302532458212227e-05
000731f7,000731d6,1.4832143278908916e-05
000731f5,000731e1,1.3395361747825518e-05
000731f5,000731f1,1.1227054528717416e-05
000731e2,000731f1,9.00142731552478e-06
000731ea,000731dd,8.947637070377823e-06
000731f2,000731dd,8.59324154589558e-06
000731f5,000731fa,7.961381925269961e-06
000731f7,000731dd,7.490678399335593e-06
000731dc,000731df,4.352095857029781e-06
000731ea,000731ef,3.986388492194237e-06
000731ea,000731de,3.693025519169169e-06
000731f4,000731f1,3.320414862173493e-06
000731f5,000731df,2.836859493982047e-06
000731dc,000731f1,2.727099627009011e-06
000731ea,000731e4,1.553803031129064e-06
000731ea,000731e6,1.4505515082419151e-06
000731e8,000731e4,8.800041655376845e-07
000731f7,000731e6,7.180755687841156e-07
000731f7,000731e4,5.518208467947261e-07
000731e8,000731dd,5.108578307044809e-07
000731f2,000731e6,4.527659029918141e-07
000731e2,000731fa,3.785357876040507e-07
000731e8,000731e6,2.61412111512982e-07
000731e8,000731de,1.723500560046887e-07
000731f2,000731e4,1.5640344486200777e-07
000731e2,000731df,5.2269477635036317e-08
000731f2,000731de,1.7367094429232566e-08
000731dc,000731fa,1.6133137492602145e-08
000731f7,000731de,6.0804095092237276e-09
00073217,00073203,0.920502781867981
00073212,00073213,0.9056577682495116
00073202,00073206,0.9028617739677428
00073208,0007321d,0.8396902680397034
00073223,00073210,0.8221233487129211
00073223,0007320b,0.8204905986785889
00073208,0007321f,0.7556192874908447
00073205,0007321a,0.6346330046653748
0007321e,00073222,0.5796777606010437
00073211,0007320a,0.4481136500835418
000731fc,00073224,0.4039263725280761
000731fc,000731fe,0.382605105638504
00073211,00073222,0.3484608829021454
000731fc,00073213,0.3234241604804992
000731ff,00073203,0.2758442163467407
0007321e,0007320a,0.2501418590545654
000731ff,00073200,0.206453263759613
00073202,0007321d,0.2062011510133743
00073205,00073219,0.1733859330415725
000731ff,00073201,0.1351467967033386
00073211,00073201,0.1144904121756553
00073208,00073206,0.0906824991106987
00073202,00073200,0.0809920579195022
00073211,00073200,0.073121078312397
00073208,00073200,0.0664896816015243
00073212,000731fe,0.0651531741023063
000731fc,00073218,0.0610839128494262
000731ff,00073206,0.0565349198877811
0007321e,00073200,0.0555754452943801
000731ff,0007320a,0.0510825403034687
00073202,0007321f,0.0508676208555698
00073211,00073203,0.0493405535817146
