text_id,body_id,relation_score
00080782,0008077a,0.9808986783027648
0008076b,0008077a,0.9556232690811156
0008076f,00080781,0.9309223294258118
00080772,00080781,0.874760627746582
0008077c,00080766,0.8272770047187805
00080788,00080781,0.7706003189086914
0008076c,00080766,0.7268755435943604
00080764,00080781,0.6657830476760864
00080773,00080766,0.3628856539726257
00080783,00080766,0.333595871925354
0008077d,0008077a,0.1215862482786178
00080788,0008077a,0.0698944106698036
00080764,0008077a,0.0663805454969406
00080772,0008077a,0.0399775877594947
0008076f,0008077a,0.036752101033926
00080782,00080781,0.0209382344037294
0008077d,00080781,0.0170510150492191
0008076b,00080781,0.0008323137299157
00080773,0008077a,0.0004255382227711
0008076c,0008077a,0.0003350056940689
00080783,0008077a,0.0002564791648183
0008077c,0008077a,0.0001115230479626
00080782,00080766,0.0001088061908376
0008076f,00080766,4.530112710199319e-05
00080764,00080766,2.6860114303417504e-05
0008076b,00080766,1.2294422049308196e-05
0008077d,00080766,6.521564955619397e-06
00080788,00080766,4.167065981164342e-06
0008076c,00080781,4.559741739740275e-07
00080772,00080766,3.8700653703926957e-07
0008077c,00080781,2.019474010239719e-07
00080783,00080781,1.7113413264269187e-07
00080773,00080781,4.5962888606254644e-08
000807be,000807c9,0.9954857230186462
000807cf,0008079e,0.9731061458587646
000807af,000807c5,0.9549858570098876
000807b9,000807bf,0.9471653699874878
000807c6,000807aa,0.945166289806366
00080799,000807bc,0.939836323261261
000807a2,000807a1,0.9285849332809448
0008078d,000807c5,0.9113397598266602
000807b1,000807c2,0.8965733051300049
000807b6,000807ae,0.8912805914878845
000807ac,000807bf,0.8860584497451782
000807b0,0008079e,0.8455439805984497
000807b8,000807c4,0.6603788733482361
000807cc,000807bd,0.559601902961731
00080792,000807ba,0.4320055842399597
000807b6,000807aa,0.351054698228836
000807cc,000807ca,0.3468781113624573
000807cc,000807ba,0.3403001427650451
00080799,00080794,0.3117347359657287
00080792,000807c7,0.2452187538146972
000807cc,000807ab,0.2130400985479354
000807cc,000807c7,0.205743134021759
000807b8,000807a9,0.1674091964960098
000807cc,000807c9,0.1289746165275573
00080791,0008079e,0.1260045021772384
000807cc,000807c4,0.1224651858210563
000807b8,000807ba,0.1213250830769538
000807af,000807bc,0.1109743565320968
000807cc,000807ae,0.0974759235978126
000807cc,000807aa,0.0935878977179527
000807cc,000807a1,0.0922259241342544
00080791,000807c2,0.0828059539198875
000807cc,000807a9,0.070890687406063
00080791,00080797,0.0626477599143982
00080792,000807ca,0.0602025128901004
000807af,000807bf,0.0564854592084884
00080799,000807c5,0.0509924478828907
000807c6,000807ae,0.0501554496586322
000807a2,000807c9,0.0495729073882103
000807b9,00080797,0.0470974221825599
000807b6,000807a1,0.0409810133278369
00080799,000807bf,0.0405994914472103
00080791,000807bf,0.0372261479496955
000807af,00080794,0.0335784517228603
000807ac,000807c2,0.031056486070156
00080792,000807c9,0.0295059457421302
0008078d,000807bf,0.0293063558638095
00080792,000807a9,0.0275946296751499
000807ac,00080797,0.0266921631991863
000807b8,000807c7,0.0263860970735549
00080792,000807c4,0.0217484608292579
000807be,000807a1,0.0213819220662117
000807af,00080797,0.0194454099982976
000807b6,000807c9,0.0189095940440893
000807b0,00080797,0.0188069269061088
00080792,000807bd,0.0184033177793025
00080792,000807a1,0.0177281033247709
000807ac,0008079e,0.0174631886184215
000807b8,000807ab,0.0171550419181585
00080792,000807aa,0.0170351825654506
00080792,000807ae,0.0168938897550106
000807b0,000807c2,0.0155741404742002
000807a2,000807aa,0.0152083914726972
00080792,000807ab,0.0141613520681858
0008078d,00080797,0.014008960686624
00080791,000807bc,0.0127292796969413
000807b1,0008079e,0.0115192905068397
00080791,000807c5,0.0111570423468947
000807b8,000807bd,0.0104203540831804
00080799,00080797,0.0101728159934282
000807af,000807c2,0.0101577900350093
000807b9,000807c2,0.0098846610635519
00080791,00080794,0.0098417112603783
000807b8,000807ae,0.0095589840784668
000807cf,00080797,0.0094238128513097
